path,frequency,class,class_idx,subject,source_file,original_path,original_split
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837114.png,10GHz,Away,0,ua_0010,06060010_1573837114.png,dataset/val/10GHz/Away/06060010_1573837114.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837135.png,10GHz,Away,0,ua_0010,06060010_1573837135.png,dataset/val/10GHz/Away/06060010_1573837135.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837157.png,10GHz,Away,0,ua_0010,06060010_1573837157.png,dataset/val/10GHz/Away/06060010_1573837157.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837204.png,10GHz,Away,0,ua_0010,06060010_1573837204.png,dataset/val/10GHz/Away/06060010_1573837204.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837254.png,10GHz,Away,0,ua_0010,06060010_1573837254.png,dataset/val/10GHz/Away/06060010_1573837254.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837305.png,10GHz,Away,0,ua_0010,06060010_1573837305.png,dataset/val/10GHz/Away/06060010_1573837305.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837370.png,10GHz,Away,0,ua_0010,06060010_1573837370.png,dataset/val/10GHz/Away/06060010_1573837370.png,val
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696344.png,10GHz,Away,0,ua_0014,06060014_1574696344.png,dataset/train/10GHz/Away/06060014_1574696344.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696370.png,10GHz,Away,0,ua_0014,06060014_1574696370.png,dataset/train/10GHz/Away/06060014_1574696370.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696394.png,10GHz,Away,0,ua_0014,06060014_1574696394.png,dataset/train/10GHz/Away/06060014_1574696394.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696433.png,10GHz,Away,0,ua_0014,06060014_1574696433.png,dataset/train/10GHz/Away/06060014_1574696433.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696452.png,10GHz,Away,0,ua_0014,06060014_1574696452.png,dataset/train/10GHz/Away/06060014_1574696452.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696470.png,10GHz,Away,0,ua_0014,06060014_1574696470.png,dataset/train/10GHz/Away/06060014_1574696470.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114751.png,10GHz,Away,0,ua_0029,06060029_1574114751.png,dataset/train/10GHz/Away/06060029_1574114751.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114770.png,10GHz,Away,0,ua_0029,06060029_1574114770.png,dataset/train/10GHz/Away/06060029_1574114770.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114809.png,10GHz,Away,0,ua_0029,06060029_1574114809.png,dataset/train/10GHz/Away/06060029_1574114809.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114829.png,10GHz,Away,0,ua_0029,06060029_1574114829.png,dataset/train/10GHz/Away/06060029_1574114829.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114849.png,10GHz,Away,0,ua_0029,06060029_1574114849.png,dataset/train/10GHz/Away/06060029_1574114849.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574115098.png,10GHz,Away,0,ua_0029,06060029_1574115098.png,dataset/train/10GHz/Away/06060029_1574115098.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574626448.png,10GHz,Away,0,ua_0029,06060029_1574626448.png,dataset/train/10GHz/Away/06060029_1574626448.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574626614.png,10GHz,Away,0,ua_0029,06060029_1574626614.png,dataset/train/10GHz/Away/06060029_1574626614.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574626687.png,10GHz,Away,0,ua_0029,06060029_1574626687.png,dataset/train/10GHz/Away/06060029_1574626687.png,train
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574626995.png,10GHz,Away,0,ua_0029,06060029_1574626995.png,dataset/train/10GHz/Away/06060029_1574626995.png,train
