frequency,split,class_id,class_name,source_file
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060010_1573837276_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060010_1573837370_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060014_1574696452_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060010_1573837135_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574626448_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574457032_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574114770_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574626614_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060010_1573837181_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060010_1573837276_Raw_0 (copy).png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574194323_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574626687_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574457011_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574114725_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574627128_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574456969_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574456989_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574457074_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574194202_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060030_1574194391_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060014_1574696490_Raw_0.png
77GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/77GHz/Away/04060029_1574114751_Raw_0.png
