frequency,split,class_id,class_name,source_file
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto13_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking11_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060014_1574696370_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574456989_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk5_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194249_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114809_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk8_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060010_1573837370_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574457116_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194179_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574626614_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk29_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114789_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking15_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060010_1573837135_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk12_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto1_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060014_1574696490_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01000000_1574696308_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/gwalk8_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking5_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574626995_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking14_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk22_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk8_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk7_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk15_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/gwalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114849_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574457032_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk13_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk25_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114829_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574627273_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574457011_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk26_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk7_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574456948_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk24_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194298_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk1_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574456969_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk11_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk8_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574626448_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking12_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/gwalk9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060010_1573837157_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk5_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk6_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574457136_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto15_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalking2_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk14_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194275_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574626687_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk27_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto11_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk6_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/bwalk7_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk17_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194202_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114770_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/gwalk4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060014_1574696394_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/gwalk3_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060030_1574194225_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk23_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walk20_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574114751_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk2_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/zwalk2_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/mwalk4_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/swalk9_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/hwalk2_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/01060029_1574627087_Spec.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto10_DS.png
24GHz,train,0,Away,/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/24GHz/Away/walkto5_DS.png
