path,frequency,class,class_idx,subject,source_file,original_path,original_split,class_idx_7c,freq_idx
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837114.png,10GHz,Away,0,ua_0010,06060010_1573837114.png,dataset/val/10GHz/Away/06060010_1573837114.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837135.png,10GHz,Away,0,ua_0010,06060010_1573837135.png,dataset/val/10GHz/Away/06060010_1573837135.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837157.png,10GHz,Away,0,ua_0010,06060010_1573837157.png,dataset/val/10GHz/Away/06060010_1573837157.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837204.png,10GHz,Away,0,ua_0010,06060010_1573837204.png,dataset/val/10GHz/Away/06060010_1573837204.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837254.png,10GHz,Away,0,ua_0010,06060010_1573837254.png,dataset/val/10GHz/Away/06060010_1573837254.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837305.png,10GHz,Away,0,ua_0010,06060010_1573837305.png,dataset/val/10GHz/Away/06060010_1573837305.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060010_1573837370.png,10GHz,Away,0,ua_0010,06060010_1573837370.png,dataset/val/10GHz/Away/06060010_1573837370.png,val,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696344.png,10GHz,Away,0,ua_0014,06060014_1574696344.png,dataset/train/10GHz/Away/06060014_1574696344.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696370.png,10GHz,Away,0,ua_0014,06060014_1574696370.png,dataset/train/10GHz/Away/06060014_1574696370.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696394.png,10GHz,Away,0,ua_0014,06060014_1574696394.png,dataset/train/10GHz/Away/06060014_1574696394.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696433.png,10GHz,Away,0,ua_0014,06060014_1574696433.png,dataset/train/10GHz/Away/06060014_1574696433.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696452.png,10GHz,Away,0,ua_0014,06060014_1574696452.png,dataset/train/10GHz/Away/06060014_1574696452.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060014_1574696470.png,10GHz,Away,0,ua_0014,06060014_1574696470.png,dataset/train/10GHz/Away/06060014_1574696470.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114751.png,10GHz,Away,0,ua_0029,06060029_1574114751.png,dataset/train/10GHz/Away/06060029_1574114751.png,train,0,0
tasks/known_people_unknown_freq/dataset/train/10GHz/Away/06060029_1574114770.png,10GHz,Away,0,ua_0029,06060029_1574114770.png,dataset/train/10GHz/Away/06060029_1574114770.png,train,0,0
